Year,All causes,Heart disease,Cancer ,Unintentional injuries,CLRD,Stroke,Alzheimer's disease,Diabetes
2008,774.9,192.1,176.4,39.2,44.7,42.1,25.8,22
2009,749.6,182.8,173.5,37.5,42.7,39.6,24.2,21
2010,747,179.1,172.8,38,42.2,39.1,25.1,20.8
2011,741.3,173.7,169,39.1,42.5,37.9,24.7,21.6
2012,732.8,170.5,166.5,39.1,41.5,36.9,23.8,21.2
2013,731.9,169.8,163.2,39.4,42.1,36.2,23.5,21.2
2014,724.6,167,161.2,40.5,40.5,36.5,25.4,20.9
2015,733.1,168.5,158.5,43.2,41.6,37.6,29.4,21.3
2016,728.8,165.5,155.8,47.4,40.6,37.3,30.3,21
2017,731.9,165,152.5,49.4,40.9,37.6,31,21.5
2018,723.6,163.6,149.1,48,39.7,37.1,30.5,21.4
